rank,model,local_exp4_balanced_accuracy,bnci2014_001_balanced_accuracy,bnci2014_004_balanced_accuracy,cho2017_balanced_accuracy,physionet_mi_balanced_accuracy,equal_dataset_macro_balanced_accuracy,status
1,cardinal_fbc_compactdyn_scale025_extended,0.9125,0.7546296296296295,0.7792361111111111,0.7124551282051281,0.5406790907696705,0.7398999919431077,descriptive_opened_development_suite_only
2,cardinal_fbc_compactdyn_extended,0.9020833333333333,0.7573302469135803,0.7761210317460319,0.7114871794871794,0.54083136401977,0.737570631099979,descriptive_opened_development_suite_only
3,cardinal_dynamics_sinc_extended,0.91625,0.7101851851851851,0.789623015873016,0.6923461538461539,0.5749633585684312,0.7366735426945572,descriptive_opened_development_suite_only
4,cardinal_dynamics_extended,0.90625,0.7060956790123457,0.7813492063492063,0.7021378205128206,0.5857358958808234,0.7363137203510393,descriptive_opened_development_suite_only
5,cardinal_fbc_compactdyn_scale010_extended,0.91,0.7480709876543209,0.7733829365079364,0.6999391025641025,0.5455146705146705,0.7353815394482061,descriptive_opened_development_suite_only
6,cardinal_fbc_physical_extended,0.9079166666666667,0.7478395061728396,0.7761706349206349,0.7010705128205128,0.5437501307066525,0.7353494902574613,descriptive_opened_development_suite_only
7,cardinal_fbc_compactdyn,0.8841666666666668,0.7535493827160494,0.7818749999999999,0.7111698717948719,0.5424496866525852,0.7346421215660346,descriptive_opened_development_suite_only
8,cardinal_fbc_compactdyn_scale025,0.89625,0.7548611111111112,0.7710218253968253,0.7099166666666665,0.5389719311820761,0.7342043068713358,descriptive_opened_development_suite_only
9,cardinal_fbms_extended,0.90875,0.7439043209876544,0.7760813492063492,0.6894551282051282,0.5500670960815889,0.7336515788961442,descriptive_opened_development_suite_only
10,cardinal_dynamics_compact,0.8891666666666667,0.6983796296296296,0.788125,0.7027916666666667,0.5874385678733505,0.7331803061672627,descriptive_opened_development_suite_only
11,fbmsnet,0.9095833333333333,0.7422067901234568,0.7748015873015872,0.6893076923076923,0.5499662341147848,0.733173127436171,descriptive_opened_development_suite_only
12,tcformer,0.9120833333333334,0.7238425925925925,0.7799999999999999,0.6946570512820514,0.5552324922795938,0.7331630938975142,descriptive_opened_development_suite_only
13,cardinal_fbc_corr_extended,0.9033333333333333,0.7479938271604938,0.7594146825396826,0.7003589743589745,0.5539813246334985,0.7330164284051965,descriptive_opened_development_suite_only
14,cardinal_fbc_micro,0.8908333333333334,0.7513117283950617,0.7761507936507936,0.6996249999999999,0.546664148385163,0.7329170007528704,descriptive_opened_development_suite_only
15,cardinal_fbc_micro_extended,0.9075,0.7508487654320987,0.7622023809523808,0.702349358974359,0.5410226314211821,0.7327846273560041,descriptive_opened_development_suite_only
16,cardinal_dynamics,0.8883333333333334,0.7007716049382715,0.7820039682539682,0.7043846153846154,0.588414467309395,0.7327815978439167,descriptive_opened_development_suite_only
17,cardinal_fbc_physical,0.895,0.7513117283950617,0.775327380952381,0.7003205128205128,0.5403856979038137,0.7324690640143539,descriptive_opened_development_suite_only
18,cardinal_fbc_extended,0.9066666666666667,0.7462191358024691,0.7670436507936508,0.6965961538461537,0.5442463802971049,0.732154397481209,descriptive_opened_development_suite_only
19,fbcnet,0.90625,0.7456018518518519,0.7681646825396826,0.6959903846153845,0.5442506500477514,0.7320515138109341,descriptive_opened_development_suite_only
20,cardinal_fbc,0.8983333333333332,0.7499228395061728,0.7718353174603174,0.6953653846153844,0.5445913587217935,0.7320096467274003,descriptive_opened_development_suite_only
21,cardinal_fbc_corr,0.8887499999999999,0.7489197530864199,0.7644246031746031,0.7015673076923077,0.5527800869286376,0.7312883501763936,descriptive_opened_development_suite_only
22,cardinal_fbc_compactdyn_scale010,0.8941666666666667,0.7510802469135802,0.7672222222222222,0.6995224358974357,0.5437461659381949,0.7311475475276199,descriptive_opened_development_suite_only
