level,dataset,model,nll,multiclass_brier,ece,ece_bins
dataset,local_exp4,scope,0.5968686259110381,0.3965146184308418,0.16874297954142095,15
dataset,local_exp4,free_scope,0.4552828964795499,0.29825463496242405,0.13295184488097828,15
dataset,local_exp4,cardinal,0.35497794099556357,0.22731297305258283,0.11526630642513433,15
dataset,local_exp4,free_cardinal,0.2756108049041126,0.16810502190686338,0.09393273673951624,15
dataset,local_exp4,cardinal_dynamics,0.25916275890217955,0.16216415134640894,0.0893734862158696,15
dataset,local_exp4,cardinal_dynamics_compact,0.2509885743910315,0.1568548991377033,0.08250388632218043,15
dataset,local_exp4,cardinal_dynamics_extended,0.21474677202656683,0.13136686709069412,0.07104181463519732,15
dataset,local_exp4,cardinal_dynamics_sinc,0.28580811238593223,0.17842011424823706,0.09078932322561742,15
dataset,local_exp4,cardinal_dynamics_sinc_residual,0.28238503185678165,0.1745157802295837,0.093833436469237,15
dataset,local_exp4,cardinal_dynamics_sinc_extended,0.2140614833836444,0.12907743934196514,0.07890163871149222,15
dataset,local_exp4,eegnet,0.2872955986474667,0.18994672283702518,0.05271913327276706,15
dataset,local_exp4,shallow,0.27648819847136064,0.17466526005037503,0.08581408150494099,15
dataset,local_exp4,deep4,0.5534248536034,0.3934988170625551,0.13833061123887697,15
dataset,local_exp4,eegconformer,0.3864276568148638,0.19305216989315557,0.09174789741635322,15
dataset,local_exp4,eegconformer_compact,0.41783729183025026,0.21484492261108729,0.10580171597500643,15
dataset,local_exp4,atcnet,0.33556822504210954,0.21233489040538905,0.07314228760699433,15
dataset,local_exp4,atcnet_aggressive_pool,0.2728833168836219,0.1734176518036665,0.0655729725708564,15
dataset,local_exp4,fbcnet,0.2308299268765961,0.13677541812031357,0.09392543820043406,15
dataset,local_exp4,cardinal_fbc,0.2443328982434077,0.1469217144811561,0.09160519878069559,15
dataset,local_exp4,cardinal_fbc_extended,0.22994650255913862,0.13615017999000087,0.09400503565867742,15
dataset,local_exp4,cardinal_fbc_corr,0.248610516801949,0.15175149813462802,0.08769473227361838,15
dataset,local_exp4,cardinal_fbc_corr_extended,0.22887371320973746,0.13668866366383162,0.08642038568854332,15
dataset,local_exp4,cardinal_fbc_compactdyn,0.2587583663769576,0.16046757963464475,0.09379943653941156,15
dataset,local_exp4,cardinal_fbc_compactdyn_extended,0.23509362493345187,0.14172261737237354,0.08188031581540903,15
dataset,local_exp4,cardinal_fbc_compactdyn_scale010,0.24616408957327318,0.14830716175660086,0.09709908152619998,15
dataset,local_exp4,cardinal_fbc_compactdyn_scale010_extended,0.22697535259609702,0.13368459915549633,0.09401570091644923,15
dataset,local_exp4,cardinal_fbc_compactdyn_scale025,0.24341653702487626,0.14717614047260952,0.09442536907891433,15
dataset,local_exp4,cardinal_fbc_compactdyn_scale025_extended,0.2241230602588322,0.13182579985348702,0.08610465094447137,15
dataset,local_exp4,cardinal_fbc_micro,0.2536202319922368,0.15299588918909468,0.09591361006100974,15
dataset,local_exp4,cardinal_fbc_micro_extended,0.23075980878399782,0.13704727772423267,0.08853596265117328,15
dataset,local_exp4,cardinal_fbc_physical,0.256310711090056,0.15504679681025813,0.09836695584158102,15
dataset,local_exp4,cardinal_fbc_physical_extended,0.23007113914605246,0.13674510579511395,0.09178240393598874,15
dataset,local_exp4,eegtcnet,0.4756227864553253,0.32692845406889687,0.08086735067268212,15
dataset,local_exp4,fbmsnet,0.2302997192253047,0.13563117975131223,0.0884181317438682,15
dataset,local_exp4,cardinal_fbms,0.2611040506194898,0.15919463840994874,0.09447277466456096,15
dataset,local_exp4,cardinal_fbms_extended,0.2299928837239522,0.1353534553017056,0.08653458995123706,15
dataset,local_exp4,cardinal_mix,0.3917767802697094,0.25289840172507083,0.11975136592984201,15
dataset,local_exp4,cardinal_mix_drop,0.3543335743283309,0.22868358305985678,0.11722092767556509,15
