model,parameter_count_median,parameter_count_min,parameter_count_max,inference_ms_per_trial_median,cuda_peak_memory_bytes_median,job_total_seconds_median
scope,39589.0,39589.0,52137.0,0.12141712941229343,153053184.0,2.534916691482067
free_scope,41893.0,39589.0,54441.0,0.09379966650158167,153075200.0,2.2591123627498746
cardinal,15907.0,15907.0,20005.0,0.05500067491084337,312370688.0,2.076647099107504
free_cardinal,15907.0,6691.0,20005.0,0.04280782304704189,312320512.0,1.9367654379457235
cardinal_dynamics,24418.0,24162.0,25444.0,0.0432558823376894,190696448.0,1.6115994434803724
cardinal_dynamics_compact,14186.0,13994.0,14956.0,0.04327849019318819,160159744.0,1.6850976487621665
cardinal_dynamics_extended,34658.0,34402.0,35684.0,0.04323418252170086,190865408.0,1.5354499844834208
cardinal_dynamics_sinc,9683.0,9491.0,10549.0,0.05544021259993315,140589568.0,2.25501692481339
cardinal_dynamics_sinc_residual,9931.0,9739.0,10797.0,0.14053648337721825,218437120.0,3.200564431026578
cardinal_dynamics_sinc_extended,13523.0,13331.0,14389.0,0.05539811681956053,140656128.0,2.1861993363127112
eegnet,1762.0,1474.0,2084.0,0.02290192060172558,118533120.0,1.8222786001861095
shallow,36962.0,8162.0,39684.0,0.02206226345151663,89574912.0,1.4358802875503898
deep4,145677.0,134427.0,146079.0,0.03220576327294111,94150656.0,0.8259237091988325
eegconformer,510946.0,419426.0,511012.0,0.2049463102594018,1851670528.0,5.09786602947861
eegconformer_compact,471506.0,379986.0,471572.0,0.14676679857075214,1850732544.0,3.8396096797659993
atcnet,104682.0,66936.0,105012.0,3.206616546958685,160724992.0,48.65150724723935
atcnet_aggressive_pool,104682.0,104106.0,105012.0,3.1902503222227097,160729088.0,42.46545750275254
fbcnet,9218.0,4034.0,11524.0,0.07976102642714977,207693824.0,1.917132532224059
cardinal_fbc,9218.0,9218.0,11524.0,0.08739696349948645,207700992.0,2.4147939262911677
cardinal_fbc_extended,12098.0,12098.0,14404.0,0.08742085192352533,207751168.0,2.3977240594103932
cardinal_fbc_corr,12026.0,12026.0,15412.0,0.10130929294973612,231354880.0,3.3848793106153607
cardinal_fbc_corr_extended,14906.0,14906.0,18292.0,0.10080074425786734,231405056.0,3.293402393348515
cardinal_fbc_compactdyn,23402.0,23210.0,26476.0,0.12080853339284658,247643136.0,2.893515922129154
cardinal_fbc_compactdyn_extended,32042.0,31850.0,35116.0,0.12019008863717318,247752192.0,2.8598206136375666
cardinal_fbc_compactdyn_scale010,23402.0,23210.0,26476.0,0.12013299856334925,247643136.0,3.3325609089806676
cardinal_fbc_compactdyn_scale010_extended,32042.0,31850.0,35116.0,0.12005981989204884,247752192.0,3.401519230566919
cardinal_fbc_compactdyn_scale025,23402.0,23210.0,26476.0,0.12076650746166706,247643136.0,3.6038805106654763
cardinal_fbc_compactdyn_scale025_extended,32042.0,31850.0,35116.0,0.12095614802092314,247752192.0,3.65969695802778
cardinal_fbc_micro,11122.0,11122.0,13588.0,0.12643360532820225,207758848.0,3.980768802575767
cardinal_fbc_micro_extended,14642.0,14642.0,17108.0,0.12604219373315573,207825920.0,3.8950280537828803
cardinal_fbc_physical,13807.0,13807.0,16337.0,0.13737757690250874,207814144.0,4.523891477845609
cardinal_fbc_physical_extended,18607.0,18607.0,21137.0,0.137221347540617,207906816.0,4.41755885258317
eegtcnet,4014.0,3726.0,4040.0,0.25803716853260994,133238784.0,10.280803476460278
fbmsnet,11441.0,6257.0,13747.0,0.10659852996468544,333570048.0,3.638489169999957
cardinal_fbms,11441.0,11441.0,13747.0,0.10202862322330475,372912128.0,2.935160874389112
cardinal_fbms_extended,14321.0,14321.0,16627.0,0.10202694684267044,372962304.0,2.9428306287154555
cardinal_mix,11153.0,11153.0,13459.0,0.09994606953114271,373958144.0,2.37166060321033
cardinal_mix_drop,11153.0,11153.0,13459.0,0.10014178697019815,374326784.0,2.5804669028148055
ctnet,150422.0,149702.0,151224.0,0.26140513364225626,183133696.0,4.829766383394599
ctnet_compact,26378.0,26090.0,26700.0,0.20992576610296965,118992896.0,6.503626846708357
eegsym,21460.0,15520.0,21486.0,0.12837669346481562,472011264.0,8.346173850819468
eegsym_wide,177848.0,129140.0,177922.0,0.2661851001903415,1248552448.0,5.885317607782781
tcformer,75668.0,72212.0,75804.0,1.7389635788276792,636025344.0,42.9636110747233
