rank,model,metric,value,tie_break,status
1,cardinal_fbc_compactdyn_scale025_extended,equal_dataset_macro_balanced_accuracy,0.7398999919431077,frozen_architecture_order,descriptive_opened_development_suite_only
2,cardinal_fbc_compactdyn_extended,equal_dataset_macro_balanced_accuracy,0.737570631099979,frozen_architecture_order,descriptive_opened_development_suite_only
3,cardinal_dynamics_sinc_extended,equal_dataset_macro_balanced_accuracy,0.7366735426945572,frozen_architecture_order,descriptive_opened_development_suite_only
4,cardinal_dynamics_extended,equal_dataset_macro_balanced_accuracy,0.7363137203510393,frozen_architecture_order,descriptive_opened_development_suite_only
5,cardinal_fbc_compactdyn_scale010_extended,equal_dataset_macro_balanced_accuracy,0.7353815394482061,frozen_architecture_order,descriptive_opened_development_suite_only
6,cardinal_fbc_physical_extended,equal_dataset_macro_balanced_accuracy,0.7353494902574613,frozen_architecture_order,descriptive_opened_development_suite_only
7,cardinal_fbc_compactdyn,equal_dataset_macro_balanced_accuracy,0.7346421215660346,frozen_architecture_order,descriptive_opened_development_suite_only
8,cardinal_fbc_compactdyn_scale025,equal_dataset_macro_balanced_accuracy,0.7342043068713358,frozen_architecture_order,descriptive_opened_development_suite_only
9,cardinal_fbms_extended,equal_dataset_macro_balanced_accuracy,0.7336515788961442,frozen_architecture_order,descriptive_opened_development_suite_only
10,cardinal_dynamics_compact,equal_dataset_macro_balanced_accuracy,0.7331803061672627,frozen_architecture_order,descriptive_opened_development_suite_only
11,fbmsnet,equal_dataset_macro_balanced_accuracy,0.733173127436171,frozen_architecture_order,descriptive_opened_development_suite_only
12,tcformer,equal_dataset_macro_balanced_accuracy,0.7331630938975142,frozen_architecture_order,descriptive_opened_development_suite_only
13,cardinal_fbc_corr_extended,equal_dataset_macro_balanced_accuracy,0.7330164284051965,frozen_architecture_order,descriptive_opened_development_suite_only
14,cardinal_fbc_micro,equal_dataset_macro_balanced_accuracy,0.7329170007528704,frozen_architecture_order,descriptive_opened_development_suite_only
15,cardinal_fbc_micro_extended,equal_dataset_macro_balanced_accuracy,0.7327846273560041,frozen_architecture_order,descriptive_opened_development_suite_only
16,cardinal_dynamics,equal_dataset_macro_balanced_accuracy,0.7327815978439167,frozen_architecture_order,descriptive_opened_development_suite_only
17,cardinal_fbc_physical,equal_dataset_macro_balanced_accuracy,0.7324690640143539,frozen_architecture_order,descriptive_opened_development_suite_only
