model,datasets_equal_weighted,aggregation,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
scope,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.5959585153529597,5,0.5958757350539959,5,0.26696751949070785,5,0.5705985230836829,5,0.2669492435950563,5,0.6823971685546512,5,0.8720226153702437,5,0.5385821445514158,5,0.19719486711467452,5
free_scope,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.6413060484782707,5,0.6410810268100123,5,0.3418945639080905,5,0.6198641799235246,5,0.3418774459252355,5,0.732647409194455,5,0.766039670288639,5,0.4792819068756347,5,0.17386002898288705,5
cardinal,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7098906514267627,5,0.7094895690594966,5,0.45884539326302615,5,0.6973340620933972,5,0.45891435582395895,5,0.8001023400015701,5,0.6023989533945079,5,0.3860991151323008,5,0.12940827685590456,5
free_cardinal,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7216378951295619,5,0.7212328683259843,5,0.48242458438859404,5,0.7116677687261381,5,0.48249588927576237,5,0.8088984502133334,5,0.5791077118775612,5,0.36996543381847136,5,0.12174063855462443,5
cardinal_dynamics,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7330081694026138,5,0.7327815978439167,5,0.5054603150293971,5,0.7250289240920178,5,0.5054532451530862,5,0.814698451223798,5,0.532958909636956,5,0.34064095818044626,5,0.09840798149725251,5
cardinal_dynamics_compact,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7333222222222222,5,0.7331803061672627,5,0.5065766617172415,5,0.7259593923222752,5,0.5066209508608023,5,0.8153737547291449,5,0.5275729048444187,5,0.3372421366148083,5,0.09301176965481814,5
cardinal_dynamics_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.736648022656356,5,0.7363137203510393,5,0.5118146835004324,5,0.7289634657468314,5,0.5118946320256634,5,0.8171817507812872,5,0.5204415246680327,5,0.3322480968364224,5,0.09403940475381814,5
cardinal_dynamics_sinc,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7244866334283001,5,0.7241639605295402,5,0.48776207743768135,5,0.7196181563240828,5,0.4878338927634244,5,0.8030600448774603,5,0.5317241630983427,5,0.340856238319273,5,0.0930825283916171,5
cardinal_dynamics_sinc_residual,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7283015499932166,5,0.7281225062779411,5,0.4953911030908616,5,0.722840877140683,5,0.49542791676577647,5,0.8092506936109057,5,0.526495822419336,5,0.33720545470251884,5,0.09130390336178332,5
cardinal_dynamics_sinc_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7367425993759327,5,0.7366735426945572,5,0.5119890606977563,5,0.73066119363868,5,0.512040581573661,5,0.8129882394622179,5,0.5149064238141066,5,0.32959453724169563,5,0.09084607217375135,5
eegnet,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.639350288291955,5,0.638480186305911,5,0.3469192203484474,5,0.5977128773042887,5,0.34695826912936945,5,0.7316153092598446,5,0.6098228279701066,5,0.3915002568092794,5,0.05846711692178082,5
shallow,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7107796850269071,5,0.7105461168863342,5,0.46717248068624884,5,0.703503768110798,5,0.4671582316814823,5,0.795361528632149,5,0.6389028204728597,5,0.39422698246596666,5,0.1325490577914617,5
deep4,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.5498729344729345,5,0.5491248706741461,5,0.18989583188327147,5,0.48846202095324454,5,0.18990264121722042,5,0.6597282899779839,5,0.7746612994311244,5,0.5038224560055939,5,0.11771321958214745,5
eegconformer,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7042115802921358,5,0.7039457886048466,5,0.4588175031356191,5,0.6841023781025146,5,0.45881982578536895,5,0.7949414107182169,5,0.7106746232064739,5,0.3999312552194964,5,0.1312007869494203,5
eegconformer_compact,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7013724799891466,5,0.7009101705594459,5,0.45168659626292473,5,0.6795933566410849,5,0.451688416601553,5,0.7923633698978138,5,0.7053355419584187,5,0.40260677255647376,5,0.1337118322433267,5
atcnet,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.691993066295844,5,0.6917026192674742,5,0.433045156230422,5,0.6785708890070531,5,0.433030628074311,5,0.7729080851412221,5,0.577175889503408,5,0.3697861427155632,5,0.0834109534262627,5
atcnet_aggressive_pool,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.6896806075611632,5,0.6893169497035438,5,0.4294055043453594,5,0.6774455314835042,5,0.42937803539804403,5,0.7663544470795275,5,0.5756703461551658,5,0.36864419721349895,5,0.08361967289951815,5
fbcnet,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7324030298919186,5,0.7320515138109341,5,0.498022780708288,5,0.717379900653261,5,0.4980420627862626,5,0.8148167552834316,5,0.6407467831936738,5,0.3776730675838572,5,0.14289106025227874,5
cardinal_fbc,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7323588646949757,5,0.7320096467274003,5,0.49736291485397766,5,0.7174237029966491,5,0.4973827660746952,5,0.8138063686084755,5,0.6365014471026738,5,0.37610045270268083,5,0.1418917440679297,5
cardinal_fbc_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7325067675123231,5,0.732154397481209,5,0.4981462435220889,5,0.7168223046202168,5,0.49816655088034184,5,0.8149876807400875,5,0.6381213168562943,5,0.3768777169448202,5,0.1430278579607896,5
cardinal_fbc_corr,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7316623739429294,5,0.7312883501763936,5,0.49605406660793133,5,0.7149497952183086,5,0.4960761609563592,5,0.816332980688669,5,0.6358031158403169,5,0.3775921719199335,5,0.1426869981818324,5
cardinal_fbc_corr_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7333971182110072,5,0.7330164284051965,5,0.4996336798556606,5,0.718834750133871,5,0.4996749723457907,5,0.8181245824797619,5,0.6258031741116493,5,0.37335333085104017,5,0.14048942047548807,5
cardinal_fbc_compactdyn,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7347776986388097,5,0.7346421215660346,5,0.502144325436596,5,0.7193251642556605,5,0.5021545697997593,5,0.817719826452441,5,0.6600094093312232,5,0.3801926742997524,5,0.14720765149743448,5
cardinal_fbc_compactdyn_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.737651271876272,5,0.737570631099979,5,0.5074972292781471,5,0.7223694347145815,5,0.5074785313876496,5,0.8188408918096408,5,0.6641170485679566,5,0.38042922808879837,5,0.14794019985281598,5
cardinal_fbc_compactdyn_scale010,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7315011949984174,5,0.7311475475276199,5,0.49548439546676254,5,0.715631243475546,5,0.49549811274217503,5,0.8154296471975785,5,0.6380376038756375,5,0.3776376660250166,5,0.14546805364637447,5
cardinal_fbc_compactdyn_scale010_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7357765477321032,5,0.7353815394482061,5,0.5043536138758362,5,0.7208846621069995,5,0.5043510920162222,5,0.81711915289983,5,0.6326332443249167,5,0.3733432280018227,5,0.14317439275180752,5
cardinal_fbc_compactdyn_scale025,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7345909905937683,5,0.7342043068713358,5,0.501093798927857,5,0.7181839292727477,5,0.5011111032835116,5,0.8186432048719166,5,0.6371585421992628,5,0.37560223701227546,5,0.1453884091682508,5
cardinal_fbc_compactdyn_scale025_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7402086182336182,5,0.7398999919431077,5,0.5125160332689318,5,0.7258797476726656,5,0.5125247280088535,5,0.820938550381408,5,0.6260984543024102,5,0.369218564736612,5,0.14285019820920947,5
cardinal_fbc_micro,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7332138007054674,5,0.7329170007528704,5,0.49899243771973245,5,0.7188830539831215,5,0.4989894797836841,5,0.8149763627950091,5,0.6418141860472172,5,0.37772280463961894,5,0.14362968012725874,5
cardinal_fbc_micro_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7331233109483108,5,0.7327846273560041,5,0.4987894193210619,5,0.7165373768648873,5,0.4988148062660735,5,0.8170148027363215,5,0.6434095297280067,5,0.3795456601499259,5,0.1461121066303821,5
cardinal_fbc_physical,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7327540643512866,5,0.7324690640143539,5,0.49809656424269944,5,0.7183553953012964,5,0.49810833109263974,5,0.8147862965000918,5,0.6479964674330546,5,0.38001771523913563,5,0.1458993748381031,5
cardinal_fbc_physical_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7356858838692172,5,0.7353494902574613,5,0.5043203796918773,5,0.719624698383291,5,0.5043499082517822,5,0.8169662201854168,5,0.6422530802076766,5,0.37748804216124004,5,0.14683346939171854,5
eegtcnet,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.6014834022972911,5,0.6012511046253799,5,0.27219356727545135,5,0.5330470021038779,5,0.27220735570745536,5,0.6842968945492949,5,0.6682485547555046,5,0.4401384357526409,5,0.07070433649489188,5
fbmsnet,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7337807036584814,5,0.733173127436171,5,0.500718682855881,5,0.7206809493019841,5,0.500758914279487,5,0.8141129775663382,5,0.6232582112540529,5,0.3692288176652042,5,0.13391385988893134,5
cardinal_fbms,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7303656435128658,5,0.7297565081054211,5,0.49362824254829085,5,0.7172028707727047,5,0.49366923713355393,5,0.8113683993966131,5,0.6291940627305508,5,0.37391880142663564,5,0.13558873071838043,5
cardinal_fbms_extended,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7342554436304437,5,0.7336515788961442,5,0.5014492483272677,5,0.7209148583715086,5,0.5014928730697501,5,0.813970727350282,5,0.6218224641313357,5,0.36836662250208835,5,0.1338835187102369,5
cardinal_mix,5,fold_concatenation_then_seed_mean_then_subject_mean_then_equal_dataset_mean,0.7117364921087144,5,0.711489544835197,5,0.4603453448144269,5,0.6982496513370441,5,0.46035078008850033,5,0.7925364411086717,5,0.6197587195050404,5,0.39043405450715196,5,0.13351859435872782,5
