dataset,model,subject,seed,folds_concatenated,test_trials,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
local_exp4,scope,1,7,1,60,0.5666666666666667,0.5666666666666667,0.1333333333333333,0.5666666666666667,0.1333333333333333,0.5766666666666667,0.7578732283176032,0.5499112145614425,0.2068532208601634
local_exp4,scope,1,17,1,60,0.5666666666666667,0.5666666666666667,0.1333333333333333,0.548611111111111,0.1333333333333333,0.5711111111111111,0.794509659679398,0.5733812037365846,0.24358589947223666
local_exp4,scope,1,27,1,60,0.5833333333333334,0.5833333333333333,0.16666666666666652,0.5775837792171219,0.16666666666666663,0.61,0.9106136059115023,0.575191295195813,0.21381784180800117
local_exp4,scope,1,37,1,60,0.5666666666666667,0.5666666666666667,0.1333333333333333,0.5238095238095237,0.1333333333333333,0.5822222222222222,0.9547918242352613,0.6334738982863415,0.26179301540056865
local_exp4,scope,1,47,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.475,0.06666666666666665,0.6433333333333333,0.862050846048621,0.5769129734752115,0.2349972168604533
local_exp4,scope,3,7,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8660714285714286,0.7333333333333334,0.9522222222222223,0.28125454824181856,0.18495564826868163,0.0997237205505371
local_exp4,scope,3,17,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8665183537263625,0.7333333333333334,0.9411111111111112,0.29927985254362555,0.18168110058554365,0.09291516741116847
local_exp4,scope,3,27,1,60,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8325892857142857,0.6666666666666667,0.9222222222222223,0.40593083718125095,0.24779702820784816,0.09911751151084901
local_exp4,scope,3,37,1,60,0.7666666666666667,0.7666666666666666,0.5333333333333332,0.7664071190211346,0.5333333333333333,0.8811111111111111,0.546508756906442,0.34503329760264345,0.16968879004319504
local_exp4,scope,3,47,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.8825174825174825,0.7666666666666666,0.9166666666666667,0.3571489693550198,0.20055506411903343,0.10228681663672126
local_exp4,scope,4,7,1,60,0.85,0.8500000000000001,0.7000000000000002,0.8499583217560434,0.7,0.88,0.5071723439608704,0.26985432906770346,0.12410671313603719
local_exp4,scope,4,17,1,60,0.7,0.7,0.3999999999999999,0.6986607142857143,0.4,0.7388888888888889,0.7095213630170019,0.44913394940317336,0.15307222604751589
local_exp4,scope,4,27,1,60,0.55,0.55,0.10000000000000009,0.5107218363032316,0.09999999999999998,0.7266666666666666,0.7523243761597403,0.5380800172318506,0.23193406065305072
local_exp4,scope,4,37,1,60,0.5166666666666667,0.5166666666666667,0.03333333333333344,0.41512605042016804,0.033333333333333326,0.5177777777777777,0.931858697579884,0.6618585876461759,0.2713709861040115
local_exp4,scope,4,47,1,60,0.6,0.6,0.19999999999999996,0.5769682726204466,0.19999999999999996,0.6477777777777778,0.7154139294433978,0.5094113808797186,0.1502619544665019
local_exp4,scope,5,7,1,60,0.9166666666666666,0.9166666666666667,0.8333333333333335,0.9166435120866907,0.8333333333333334,0.9655555555555555,0.23263783033963598,0.14108874254411494,0.04414287706216177
local_exp4,scope,5,17,1,60,0.95,0.95,0.8999999999999999,0.949874686716792,0.9,0.9966666666666667,0.12314774128194646,0.06636911654595838,0.0591267277797063
local_exp4,scope,5,27,1,60,0.9166666666666666,0.9166666666666667,0.8333333333333335,0.916083916083916,0.8333333333333334,0.97,0.2528429984840928,0.146933495398305,0.04919220805168153
local_exp4,scope,5,37,1,60,0.95,0.95,0.8999999999999999,0.949874686716792,0.9,0.9877777777777779,0.17187358780660603,0.1035640750795528,0.06344047089417776
local_exp4,scope,5,47,1,60,0.9,0.9,0.8,0.899888765294772,0.8,0.9755555555555555,0.206914909528591,0.12606857625607512,0.05709261198838553
local_exp4,scope,6,7,1,60,0.5166666666666667,0.5166666666666667,0.03333333333333344,0.46279715961716583,0.033333333333333326,0.56,0.768262334270741,0.5609234642627257,0.20391950408617654
local_exp4,scope,6,17,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9755555555555555,0.16501527845915026,0.08583032174114193,0.03485199709733334
local_exp4,scope,6,27,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9877777777777776,0.09754581775867058,0.04419157697908692,0.02951403955618543
local_exp4,scope,6,37,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9733333333333334,0.19171874379834555,0.09303867509094957,0.06544674734274544
local_exp4,scope,6,47,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9844444444444445,0.15642547316098385,0.08682292490333182,0.05293268163998921
local_exp4,scope,7,7,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.4871794871794872,0.06666666666666665,0.4955555555555555,0.9368753904527828,0.654886860452139,0.3198084086179733
local_exp4,scope,7,17,1,60,0.5166666666666667,0.5166666666666667,0.03333333333333344,0.41512605042016804,0.033333333333333326,0.5177777777777777,0.9751290366150365,0.6901455278284239,0.29694445927937824
local_exp4,scope,7,27,1,60,0.5833333333333334,0.5833333333333334,0.16666666666666674,0.4957983193277311,0.16666666666666663,0.5255555555555556,0.9958978982840355,0.6489555141834964,0.287612917025884
local_exp4,scope,7,37,1,60,0.5,0.5,0.0,0.36079545454545453,0.0,0.52,0.8031923172158199,0.593505169125508,0.23203132847944896
local_exp4,scope,7,47,1,60,0.55,0.55,0.10000000000000009,0.5107218363032316,0.09999999999999998,0.6266666666666667,0.7296411424242687,0.5208660853045758,0.19604387482007343
local_exp4,scope,8,7,1,60,0.55,0.55,0.10000000000000009,0.5488721804511278,0.09999999999999998,0.55,0.7659144961712356,0.555730489886272,0.2813352197408676
local_exp4,scope,8,17,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.475,0.06666666666666665,0.6455555555555555,0.6978828541530413,0.5044457405046113,0.13809832632541658
local_exp4,scope,8,27,1,60,0.4666666666666667,0.4666666666666667,-0.06666666666666665,0.3838254172015404,-0.06666666666666665,0.4922222222222222,1.0289425500263443,0.7292828441561156,0.3684591988722483
local_exp4,scope,8,37,1,60,0.6,0.6,0.19999999999999996,0.5995550611790879,0.19999999999999996,0.6344444444444445,0.763478009435291,0.5320712724945459,0.1702230592568715
local_exp4,scope,8,47,1,60,0.5666666666666667,0.5666666666666667,0.1333333333333333,0.5238095238095237,0.1333333333333333,0.64,0.7799670463869878,0.5561797923729176,0.268459497888883
local_exp4,scope,10,7,1,60,0.7666666666666667,0.7666666666666666,0.5333333333333332,0.765625,0.5333333333333333,0.8988888888888888,0.4558013141793674,0.2775154756543902,0.13585413396358492
local_exp4,scope,10,17,1,60,0.65,0.6499999999999999,0.2999999999999998,0.6475524475524476,0.30000000000000004,0.7222222222222222,0.7740028591500144,0.48696350874624983,0.1900137980779012
local_exp4,scope,10,27,1,60,0.9,0.9,0.8,0.898989898989899,0.8,0.9533333333333334,0.3060243713800802,0.1828505913753032,0.11711809933185573
local_exp4,scope,10,37,1,60,0.7166666666666667,0.7166666666666667,0.43333333333333335,0.7101449275362319,0.43333333333333335,0.7655555555555555,0.8812880883323398,0.47751101051440303,0.21342287460962936
local_exp4,scope,10,47,1,60,0.65,0.6499999999999999,0.2999999999999998,0.6491228070175439,0.30000000000000004,0.7388888888888889,0.8280701087646775,0.49761289756571225,0.21910897890726727
local_exp4,free_scope,1,7,1,60,0.5833333333333334,0.5833333333333333,0.16666666666666652,0.5775837792171219,0.16666666666666663,0.7088888888888889,0.7068750515021842,0.4933958190958443,0.20359569986661272
local_exp4,free_scope,1,17,1,60,0.6833333333333333,0.6833333333333333,0.3666666666666667,0.6622222222222223,0.3666666666666667,0.6888888888888889,0.7087421301445459,0.48603300477434563,0.15067598323027295
local_exp4,free_scope,1,27,1,60,0.5833333333333334,0.5833333333333333,0.16666666666666652,0.5832175604334537,0.16666666666666663,0.7133333333333334,0.9554126013556671,0.5394978167550357,0.26542305052280424
local_exp4,free_scope,1,37,1,60,0.5333333333333333,0.5333333333333333,0.06666666666666665,0.513888888888889,0.06666666666666665,0.6311111111111112,0.8113111117444404,0.5835537530288506,0.2455689370632172
