model,comparator,datasets,subjects_total,equal_dataset_macro_balanced_accuracy_difference,descriptive_fixed_suite_bootstrap_interval95_low,descriptive_fixed_suite_bootstrap_interval95_high,fixed_suite_bootstrap_resamples,fixed_suite_bootstrap_seed,descriptive_dataset_superpopulation_interval95_low,descriptive_dataset_superpopulation_interval95_high,dataset_superpopulation_bootstrap_resamples,dataset_superpopulation_bootstrap_seed,status
scope,tcformer,5,132,-0.13728735884351828,-0.16019186107069258,-0.1151905059946093,100000,20260729,-0.23007874228395062,-0.05286693368393555,100000,20261229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
free_scope,tcformer,5,132,-0.09208206708750187,-0.11358437672633326,-0.07261760402439751,100000,20270729,-0.14842600308641984,-0.0385455044100425,100000,20271229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal,tcformer,5,132,-0.023673524838017605,-0.03766725751972128,-0.010387093407129648,100000,20280729,-0.05626545301182985,0.00665283909897133,100000,20281229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
free_cardinal,tcformer,5,132,-0.011930225571529913,-0.023306678831434266,0.00016848250648975407,100000,20290729,-0.03133026344797178,0.01003608026635197,100000,20291229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics,tcformer,5,132,-0.0003814960535974868,-0.01207076183411326,0.011238251142979414,100000,20300729,-0.023043213667036114,0.020953414725706408,100000,20301229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics_compact,tcformer,5,132,1.721226974852469e-05,-0.010559697504588789,0.010467315227378654,100000,20310729,-0.02260092349310646,0.02062671910014302,100000,20311229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics_extended,tcformer,5,132,0.00315062645352503,-0.008621340995625391,0.01581838000197603,100000,20320729,-0.016237759038800672,0.021031505030128222,100000,20321229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics_sinc,tcformer,5,132,-0.008999133367973929,-0.019948354771570333,0.0013104344927080515,100000,20330729,-0.03061791893660551,0.008482979782563151,100000,20331229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics_sinc_residual,tcformer,5,132,-0.005040587619573111,-0.015713755032876392,0.005433995761015705,100000,20340729,-0.02875550538900174,0.014848101779460478,100000,20341229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_dynamics_sinc_extended,tcformer,5,132,0.0035104487970430143,-0.00778386538649219,0.015181723027710347,100000,20350729,-0.013098195725369612,0.017414200709381863,100000,20351229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
eegnet,tcformer,5,132,-0.09468290759160324,-0.12344597862215614,-0.06778042110667108,100000,20360729,-0.18007694003527336,-0.04156188083554933,100000,20361229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
shallow,tcformer,5,132,-0.02261697701117991,-0.03257691444458656,-0.01316894162734742,100000,20370729,-0.05082855709876542,0.0009054806127179332,100000,20371229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
deep4,tcformer,5,132,-0.18403822322336813,-0.21811143499381724,-0.15011449317624137,100000,20380729,-0.313131393528975,-0.07581332291098597,100000,20381229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
eegconformer,tcformer,5,132,-0.029217305292667594,-0.041374100145694315,-0.01828119215828454,100000,20390729,-0.07217101080246913,0.003944420459773677,100000,20391229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
eegconformer_compact,tcformer,5,132,-0.03225292333806824,-0.043367563583424064,-0.020969600495451934,100000,20400729,-0.0700238693019943,0.0015948484194951498,100000,20401229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
atcnet,tcformer,5,132,-0.04146047463003984,-0.061055473846470226,-0.024214955458859426,100000,20410729,-0.08303428062678063,-0.005621144506660807,100000,20411229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
atcnet_aggressive_pool,tcformer,5,132,-0.04384614419397028,-0.05902802042060193,-0.031078338999969427,100000,20420729,-0.08149450379867045,-0.011215730204779133,100000,20421229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
fbcnet,tcformer,5,132,-0.0011115800865800721,-0.01217957756749422,0.010864476232972623,100000,20430729,-0.015583537628166224,0.01610025200108534,100000,20431229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
cardinal_fbc,tcformer,5,132,-0.001153447170113834,-0.012005176242504152,0.010257888118993171,100000,20440729,-0.01671072109553087,0.01716124525166191,100000,20441229,descriptive model-minus-prespecified-TCFormer context only; intervals describe this opened development suite and are not confirmatory confidence intervals
