model,comparator,seed,dataset,subjects,balanced_accuracy_difference
scope,tcformer,7,local_exp4,8,-0.23125
scope,tcformer,7,bnci2014_001,9,-0.2334104938271605
scope,tcformer,7,bnci2014_004,9,-0.03363095238095237
scope,tcformer,7,cho2017,52,-0.13016025641025641
scope,tcformer,7,physionet_mi,54,-0.035442851566039976
scope,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.13277891083688187
scope,tcformer,17,local_exp4,8,-0.21458333333333335
scope,tcformer,17,bnci2014_001,9,-0.30594135802469136
scope,tcformer,17,bnci2014_004,9,-0.034027777777777775
scope,tcformer,17,cho2017,52,-0.1262019230769231
scope,tcformer,17,physionet_mi,54,-0.04427012533896592
scope,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.1450049035103383
scope,tcformer,27,local_exp4,8,-0.19583333333333333
scope,tcformer,27,bnci2014_001,9,-0.28279320987654327
scope,tcformer,27,bnci2014_004,9,-0.04270833333333333
scope,tcformer,27,cho2017,52,-0.12467948717948715
scope,tcformer,27,physionet_mi,54,-0.03926841743870729
scope,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.13705655623228089
scope,tcformer,37,local_exp4,8,-0.19375000000000003
scope,tcformer,37,bnci2014_001,9,-0.35648148148148157
scope,tcformer,37,bnci2014_004,9,-0.02777777777777779
scope,tcformer,37,cho2017,52,-0.1252724358974359
scope,tcformer,37,physionet_mi,54,-0.02778060975524744
scope,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.14621246098238855
scope,tcformer,47,local_exp4,8,-0.18541666666666667
scope,tcformer,47,bnci2014_001,9,-0.26118827160493824
scope,tcformer,47,bnci2014_004,9,-0.04623015873015872
scope,tcformer,47,cho2017,52,-0.11948717948717948
scope,tcformer,47,physionet_mi,54,-0.01459753678956576
scope,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.12538396265570179
free_scope,tcformer,7,local_exp4,8,-0.13333333333333333
free_scope,tcformer,7,bnci2014_001,9,-0.11728395061728393
free_scope,tcformer,7,bnci2014_004,9,-0.03715277777777776
free_scope,tcformer,7,cho2017,52,-0.10166666666666666
free_scope,tcformer,7,physionet_mi,54,-0.01633811371130212
free_scope,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.08115496842127276
free_scope,tcformer,17,local_exp4,8,-0.17291666666666666
free_scope,tcformer,17,bnci2014_001,9,-0.19791666666666666
free_scope,tcformer,17,bnci2014_004,9,-0.05887896825396826
free_scope,tcformer,17,cho2017,52,-0.0925801282051282
free_scope,tcformer,17,physionet_mi,54,-0.021858291332929016
free_scope,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.10883014422507178
free_scope,tcformer,27,local_exp4,8,-0.13541666666666669
free_scope,tcformer,27,bnci2014_001,9,-0.17746913580246912
free_scope,tcformer,27,bnci2014_004,9,-0.04067460317460317
free_scope,tcformer,27,cho2017,52,-0.09157051282051284
free_scope,tcformer,27,physionet_mi,54,-0.02598448250622163
free_scope,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.09422308019409469
free_scope,tcformer,37,local_exp4,8,-0.12291666666666667
free_scope,tcformer,37,bnci2014_001,9,-0.17901234567901236
free_scope,tcformer,37,bnci2014_004,9,-0.0424107142857143
free_scope,tcformer,37,cho2017,52,-0.09301282051282052
free_scope,tcformer,37,physionet_mi,54,0.0071056493157942435
