rank,model,equal_dataset_macro_balanced_accuracy,status
1,cardinal_fbc_compactdyn_scale025_extended,0.7398999919431077,descriptive_opened_development_suite_only
2,cardinal_fbc_compactdyn_extended,0.737570631099979,descriptive_opened_development_suite_only
3,cardinal_dynamics_sinc_extended,0.7366735426945572,descriptive_opened_development_suite_only
4,cardinal_dynamics_extended,0.7363137203510393,descriptive_opened_development_suite_only
5,cardinal_fbc_compactdyn_scale010_extended,0.7353815394482061,descriptive_opened_development_suite_only
6,cardinal_fbc_physical_extended,0.7353494902574613,descriptive_opened_development_suite_only
7,cardinal_fbc_compactdyn,0.7346421215660346,descriptive_opened_development_suite_only
8,cardinal_fbc_compactdyn_scale025,0.7342043068713358,descriptive_opened_development_suite_only
9,cardinal_fbms_extended,0.7336515788961442,descriptive_opened_development_suite_only
10,cardinal_dynamics_compact,0.7331803061672627,descriptive_opened_development_suite_only
