descriptive_accuracy_rank,primary_balanced_accuracy_rank,model,local_exp4_accuracy,bnci2014_001_accuracy,bnci2014_004_accuracy,cho2017_accuracy,physionet_mi_accuracy,equal_dataset_macro_accuracy,status
1,1,cardinal_fbc_compactdyn_scale025_extended,0.9125,0.7546296296296295,0.7792361111111111,0.7124551282051281,0.5422222222222223,0.7402086182336182,descriptive_opened_development_suite_only
2,2,cardinal_fbc_compactdyn_extended,0.9020833333333333,0.7573302469135803,0.7761210317460319,0.7114871794871794,0.5412345679012346,0.737651271876272,descriptive_opened_development_suite_only
3,3,cardinal_dynamics_sinc_extended,0.91625,0.7101851851851851,0.789623015873016,0.6923461538461539,0.5753086419753086,0.7367425993759327,descriptive_opened_development_suite_only
4,4,cardinal_dynamics_extended,0.90625,0.7060956790123457,0.7813492063492063,0.7021378205128204,0.5874074074074074,0.736648022656356,descriptive_opened_development_suite_only
5,5,cardinal_fbc_compactdyn_scale010_extended,0.91,0.748070987654321,0.7733829365079364,0.6999391025641025,0.5474897119341563,0.7357765477321032,descriptive_opened_development_suite_only
6,6,cardinal_fbc_physical_extended,0.9079166666666667,0.7478395061728395,0.7761706349206349,0.7010705128205128,0.5454320987654321,0.7356858838692172,descriptive_opened_development_suite_only
7,7,cardinal_fbc_compactdyn,0.8841666666666665,0.7535493827160494,0.7818749999999999,0.7111698717948719,0.5431275720164609,0.7347776986388097,descriptive_opened_development_suite_only
8,8,cardinal_fbc_compactdyn_scale025,0.89625,0.7548611111111112,0.7710218253968253,0.7099166666666665,0.5409053497942387,0.7345909905937683,descriptive_opened_development_suite_only
9,9,cardinal_fbms_extended,0.90875,0.7439043209876544,0.7760813492063492,0.6894551282051282,0.5530864197530864,0.7342554436304437,descriptive_opened_development_suite_only
10,11,fbmsnet,0.9095833333333333,0.7422067901234567,0.7748015873015873,0.6893076923076923,0.5530041152263374,0.7337807036584814,descriptive_opened_development_suite_only
11,12,tcformer,0.9120833333333334,0.7238425925925925,0.7799999999999999,0.6946570512820514,0.5574485596707819,0.7336063073757518,descriptive_opened_development_suite_only
12,13,cardinal_fbc_corr_extended,0.9033333333333333,0.7479938271604939,0.7594146825396826,0.7003589743589745,0.5558847736625515,0.7333971182110072,descriptive_opened_development_suite_only
13,10,cardinal_dynamics_compact,0.8891666666666667,0.6983796296296296,0.788125,0.7027916666666667,0.5881481481481481,0.7333222222222222,descriptive_opened_development_suite_only
14,14,cardinal_fbc_micro,0.8908333333333334,0.7513117283950618,0.7761507936507936,0.6996249999999999,0.5481481481481482,0.7332138007054674,descriptive_opened_development_suite_only
15,15,cardinal_fbc_micro_extended,0.9075,0.7508487654320987,0.7622023809523808,0.702349358974359,0.542716049382716,0.7331233109483108,descriptive_opened_development_suite_only
16,16,cardinal_dynamics,0.8883333333333334,0.7007716049382715,0.7820039682539682,0.7043846153846154,0.5895473251028807,0.7330081694026138,descriptive_opened_development_suite_only
17,17,cardinal_fbc_physical,0.895,0.7513117283950618,0.775327380952381,0.7003205128205128,0.5418106995884773,0.7327540643512866,descriptive_opened_development_suite_only
18,18,cardinal_fbc_extended,0.9066666666666666,0.7462191358024691,0.7670436507936508,0.6965961538461537,0.546008230452675,0.7325067675123231,descriptive_opened_development_suite_only
19,19,fbcnet,0.90625,0.7456018518518517,0.7681646825396826,0.6959903846153845,0.546008230452675,0.7324030298919186,descriptive_opened_development_suite_only
20,20,cardinal_fbc,0.8983333333333332,0.7499228395061728,0.7718353174603174,0.6953653846153844,0.5463374485596708,0.7323588646949757,descriptive_opened_development_suite_only
21,21,cardinal_fbc_corr,0.8887499999999999,0.7489197530864199,0.7644246031746031,0.7015673076923077,0.5546502057613169,0.7316623739429294,descriptive_opened_development_suite_only
22,22,cardinal_fbc_compactdyn_scale010,0.8941666666666667,0.7510802469135803,0.7672222222222222,0.6995224358974359,0.545514403292181,0.7315011949984174,descriptive_opened_development_suite_only
23,23,cardinal_fbms,0.8920833333333333,0.7441358024691359,0.7732738095238096,0.6894134615384618,0.5529218106995883,0.7303656435128658,descriptive_opened_development_suite_only
24,24,cardinal_dynamics_sinc_residual,0.87125,0.7064043209876543,0.7892063492063492,0.6953878205128206,0.5792592592592593,0.7283015499932166,descriptive_opened_development_suite_only
25,25,cardinal_dynamics_sinc,0.8720833333333333,0.7042438271604938,0.787986111111111,0.6887371794871794,0.5693827160493827,0.7244866334283001,descriptive_opened_development_suite_only
26,26,free_cardinal,0.8854166666666667,0.7003086419753086,0.7604365079365079,0.6778301282051283,0.5841975308641975,0.7216378951295619,descriptive_opened_development_suite_only
27,27,cardinal_mix_drop,0.8316666666666667,0.7209104938271604,0.7769940476190477,0.6809519230769231,0.571522633744856,0.7164091529869308,descriptive_opened_development_suite_only
28,28,cardinal_mix,0.8212499999999999,0.7197530864197531,0.7767658730158731,0.6719423076923078,0.568971193415638,0.7117364921087144,descriptive_opened_development_suite_only
29,29,shallow,0.8766666666666666,0.654398148148148,0.7738888888888888,0.681701923076923,0.5672427983539093,0.7107796850269071,descriptive_opened_development_suite_only
30,30,cardinal,0.8391666666666666,0.7010030864197532,0.7461904761904763,0.6784839743589743,0.5846090534979423,0.7098906514267627,descriptive_opened_development_suite_only
31,31,eegconformer,0.8895833333333333,0.6180555555555556,0.7820039682539683,0.6592339743589742,0.5721810699588478,0.7042115802921358,descriptive_opened_development_suite_only
32,32,eegconformer_compact,0.87375,0.626003086419753,0.777063492063492,0.6547371794871796,0.5753086419753086,0.7013724799891466,descriptive_opened_development_suite_only
33,33,ctnet,0.8691666666666666,0.6600308641975309,0.7865277777777778,0.6510641025641027,0.5298765432098765,0.6993331908831909,descriptive_opened_development_suite_only
34,34,atcnet,0.8391666666666667,0.6277006172839507,0.7814980158730159,0.6524230769230768,0.5591769547325103,0.691993066295844,descriptive_opened_development_suite_only
35,35,atcnet_aggressive_pool,0.8670833333333334,0.619212962962963,0.7796329365079365,0.6347371794871796,0.5477366255144033,0.6896806075611632,descriptive_opened_development_suite_only
36,36,ctnet_compact,0.8291666666666666,0.5869598765432098,0.7777380952380953,0.6171923076923076,0.5288888888888889,0.6679891670058338,descriptive_opened_development_suite_only
37,37,eegsym_wide,0.8620833333333333,0.5143518518518518,0.7829563492063492,0.6064198717948718,0.5174485596707818,0.6566519931714376,descriptive_opened_development_suite_only
38,38,free_scope,0.7741666666666667,0.5520061728395061,0.7384623015873015,0.5978621794871796,0.5440329218106996,0.6413060484782707,descriptive_opened_development_suite_only
39,39,eegnet,0.83625,0.47530864197530864,0.7278670634920634,0.6331282051282051,0.5241975308641975,0.639350288291955,descriptive_opened_development_suite_only
40,40,eegtcnet,0.7083333333333333,0.4773148148148148,0.7313293650793651,0.5673942307692307,0.523045267489712,0.6014834022972911,descriptive_opened_development_suite_only
41,41,scope,0.7079166666666666,0.4358796296296296,0.743125,0.5694967948717949,0.5233744855967077,0.5959585153529597,descriptive_opened_development_suite_only
42,42,deep4,0.66625,0.31265432098765433,0.7003472222222222,0.5548044871794872,0.5153086419753086,0.5498729344729345,descriptive_opened_development_suite_only
43,43,eegsym,0.62625,0.383179012345679,0.6306646825396826,0.536,0.5039506172839506,0.5360088624338625,descriptive_opened_development_suite_only
