time,log_odds,center,margin,pred,conf,committed
2026-09-21 10:13:13.501,-2.9458,-2.6289,-0.3169,1,0.5786,0
2026-09-21 10:13:13.723,-3.0399,-2.6330,-0.4068,1,0.6003,0
2026-09-21 10:13:13.961,-2.3787,-2.6305,0.2518,2,0.5626,0
2026-09-21 10:13:14.190,-3.3710,-2.6305,-0.7405,1,0.6771,0
2026-09-21 10:13:14.417,-2.4031,-2.6282,0.2251,2,0.5560,0
2026-09-21 10:13:14.646,0.7946,-2.6282,3.4229,2,0.9684,0
2026-09-21 10:13:14.872,-1.4633,-2.6282,1.1649,2,0.7622,0
2026-09-21 10:13:15.100,-2.7314,-2.6293,-0.1021,1,0.5255,0
2026-09-21 10:13:15.328,-1.9248,-2.6293,0.7045,2,0.6692,0
2026-09-21 10:13:15.552,-1.5166,-2.6293,1.1126,2,0.7526,0
2026-09-21 10:13:15.780,-2.1596,-2.6246,0.4650,2,0.6142,0
2026-09-21 10:13:16.009,-2.2719,-2.6210,0.3492,2,0.5864,0
2026-09-21 10:13:16.240,-0.2526,-2.6210,2.3684,2,0.9144,0
2026-09-21 10:13:16.467,-1.0471,-2.6210,1.5739,2,0.8283,0
2026-09-21 10:13:16.695,-3.7265,-2.6210,-1.1054,1,0.7513,0
2026-09-21 10:13:16.922,-3.3032,-2.6210,-0.6822,1,0.6642,0
2026-09-21 10:13:17.151,-1.8453,-2.6210,0.7758,2,0.6848,0
2026-09-21 10:13:17.379,-3.2840,-2.6210,-0.6630,1,0.6599,0
2026-09-21 10:13:17.609,-3.3008,-2.6210,-0.6798,1,0.6637,0
2026-09-21 10:13:17.838,-0.9890,-2.6210,1.6320,2,0.8364,0
2026-09-21 10:13:18.068,0.4152,-2.6210,3.0362,2,0.9542,0
2026-09-21 10:13:18.293,-3.9158,-2.6210,-1.2947,1,0.7849,0
2026-09-21 10:13:18.522,-3.7560,-2.6210,-1.1349,1,0.7567,0
2026-09-21 10:13:18.751,-2.1494,-2.6163,0.4669,2,0.6147,0
2026-09-21 10:13:18.982,-3.0180,-2.6203,-0.3977,1,0.5981,0
2026-09-21 10:13:19.208,-2.4038,-2.6182,0.2144,2,0.5534,0
2026-09-21 10:13:19.436,0.4810,-2.6182,3.0992,2,0.9569,0
2026-09-21 10:13:19.665,-0.0657,-2.6182,2.5525,2,0.9277,0
2026-09-21 10:13:19.894,-3.7620,-2.6182,-1.1438,1,0.7584,0
2026-09-21 10:13:20.117,-3.1505,-2.6235,-0.5270,1,0.6288,0
2026-09-21 10:13:20.341,-2.4197,-2.6215,0.2018,2,0.5503,0
2026-09-21 10:13:20.568,-2.2343,-2.6176,0.3833,2,0.5947,0
2026-09-21 10:13:20.797,-3.8504,-2.6176,-1.2328,1,0.7743,0
