trial_number,block,phase,command,frequency_hz,planned_duration_s,onset_perf_s,onset_utc,actual_duration_s,rendered_frames,observed_flicker_hz
0,0,preparation,,,8.0,9.999999747378752e-06,2026-09-11T21:42:27.921832+00:00,8.00353030000042,,
1,1,planning,forward,8.0,2.0,8.0035452000011,2026-09-11T21:42:35.925007+00:00,2.001489700000093,,
1,1,action,forward,8.0,5.0,10.005041000000347,2026-09-11T21:42:37.926684+00:00,5.005188999999518,558,"{""backward"": 15.883516087006434, ""forward"": 7.8918098797075995, ""left"": 19.879369190655854, ""right"": 11.887662983357018}"
1,1,rest,forward,8.0,3.0,15.01024839999991,2026-09-11T21:42:42.931619+00:00,3.003889400000844,,
2,1,planning,backward,16.0,2.0,18.01414450000084,2026-09-11T21:42:45.935752+00:00,2.006064299999707,,
2,1,action,backward,16.0,5.0,20.020215700000335,2026-09-11T21:42:47.941721+00:00,5.0062116000008245,564,"{""backward"": 15.880271620957233, ""forward"": 7.890197849406424, ""left"": 19.875308506732637, ""right"": 11.885234735181829}"
2,1,rest,backward,16.0,3.0,25.026445700001204,2026-09-11T21:42:52.947630+00:00,3.002300699999978,,
3,1,planning,left,20.0,2.0,28.028752399999576,2026-09-11T21:42:55.950495+00:00,2.016006000001653,,
3,1,action,left,20.0,5.0,30.044766600000003,2026-09-11T21:42:57.966473+00:00,5.001986799999941,560,"{""backward"": 15.893684485533017, ""forward"": 7.896862102874896, ""left"": 19.892095676862077, ""right"": 11.895273294203957}"
3,1,rest,left,20.0,3.0,35.046766200001,2026-09-11T21:43:02.968455+00:00,3.0001032000000123,,
4,1,planning,right,12.0,2.0,38.046875199999704,2026-09-11T21:43:05.968651+00:00,2.0029733999999735,,
4,1,action,right,12.0,5.0,40.049854400000186,2026-09-11T21:43:07.971252+00:00,5.005484700001034,570,"{""backward"": 15.882577765143019, ""forward"": 7.891343669473575, ""left"": 19.878194812977743, ""right"": 11.886960717308298}"
4,1,rest,right,12.0,3.0,45.05535360000067,2026-09-11T21:43:12.976611+00:00,3.0034193999999843,,
5,2,planning,left,20.0,2.0,48.05878110000049,2026-09-11T21:43:15.980487+00:00,2.0067027999994025,,
5,2,action,left,20.0,5.0,50.065498100000696,2026-09-11T21:43:17.987052+00:00,5.000574599998799,553,"{""backward"": 15.89817298196473, ""forward"": 7.899092236322098, ""left"": 19.897713354786045, ""right"": 11.898632609143414}"
5,2,rest,left,20.0,3.0,55.06608600000072,2026-09-11T21:43:22.987121+00:00,3.0006752999997843,,
6,2,planning,backward,16.0,2.0,58.06677850000051,2026-09-11T21:43:25.988127+00:00,2.006785300000047,,
6,2,action,backward,16.0,5.0,60.07359019999967,2026-09-11T21:43:27.995002+00:00,5.007394700000077,564,"{""backward"": 15.876519580131914, ""forward"": 7.888333627864284, ""left"": 19.87061255626573, ""right"": 11.8824266039981}"
6,2,rest,backward,16.0,3.0,65.08099860000038,2026-09-11T21:43:33.002239+00:00,3.0039668000008533,,
7,2,planning,forward,8.0,2.0,68.08497610000086,2026-09-11T21:43:36.006035+00:00,2.0077913999994053,,
7,2,action,forward,8.0,5.0,70.09277610000026,2026-09-11T21:43:38.014194+00:00,5.006762200000594,565,"{""backward"": 15.878525247312638, ""forward"": 7.8893301543251475, ""left"": 19.873122793806385, ""right"": 11.883927700818893}"
7,2,rest,forward,8.0,3.0,75.09955290000107,2026-09-11T21:43:43.020400+00:00,3.00191839999934,,
8,2,planning,right,12.0,2.0,78.10148070000105,2026-09-11T21:43:46.022909+00:00,2.006889799999044,,
8,2,action,right,12.0,5.0,80.10837759999959,2026-09-11T21:43:48.030026+00:00,5.006513400001495,560,"{""backward"": 15.879314334797598, ""forward"": 7.8897222166604415, ""left"": 19.874110393866175, ""right"": 11.88451827572902}"
8,2,rest,right,12.0,3.0,85.11490989999947,2026-09-11T21:43:53.035909+00:00,3.008275500000309,,
9,3,planning,right,12.0,2.0,88.12320460000046,2026-09-11T21:43:56.044171+00:00,2.002133399999366,,
