protocol,decoder,subject,accuracy,balanced_accuracy
personalized,ea_fbcsp2_slda,S1,0.887500,0.887500
personalized,ea_fbcsp2_slda,S3,0.920479,0.920833
personalized,ea_fbcsp2_slda,S4,0.945833,0.945833
personalized,ea_fbcsp2_slda,S5,0.979167,0.979167
personalized,ea_fbcsp2_slda,S6,0.975000,0.975000
personalized,ea_fbcsp2_slda,S7,0.787500,0.787500
personalized,ea_fbcsp2_slda,S8,0.844858,0.844565
personalized,ea_fbcsp2_slda,S10,0.948889,0.949346
personalized,riemann_ts_lr,S1,0.820833,0.820833
personalized,riemann_ts_lr,S3,0.937057,0.937319
personalized,riemann_ts_lr,S4,0.933333,0.933333
personalized,riemann_ts_lr,S5,0.974911,0.975000
personalized,riemann_ts_lr,S6,0.975000,0.975000
personalized,riemann_ts_lr,S7,0.708333,0.708333
personalized,riemann_ts_lr,S8,0.848582,0.848551
personalized,riemann_ts_lr,S10,0.960476,0.960131
loso,ea_fbcsp2_slda,S1,0.833333,0.833333
loso,ea_fbcsp2_slda,S3,0.845188,0.845448
loso,ea_fbcsp2_slda,S4,0.941667,0.941667
loso,ea_fbcsp2_slda,S5,0.966527,0.966492
loso,ea_fbcsp2_slda,S6,0.945833,0.945833
loso,ea_fbcsp2_slda,S7,0.741667,0.741667
loso,ea_fbcsp2_slda,S8,0.747899,0.747899
loso,ea_fbcsp2_slda,S10,0.886364,0.886822
loso,riemann_ts_lr,S1,0.795833,0.795833
loso,riemann_ts_lr,S3,0.853556,0.853676
loso,riemann_ts_lr,S4,0.908333,0.908333
loso,riemann_ts_lr,S5,0.949791,0.949755
loso,riemann_ts_lr,S6,0.900000,0.900000
loso,riemann_ts_lr,S7,0.654167,0.654167
loso,riemann_ts_lr,S8,0.684874,0.684874
loso,riemann_ts_lr,S10,0.875000,0.874677
personalized_mean_sd,ea_fbcsp2_slda,ALL,0.911153,0.062909
personalized_mean_sd,riemann_ts_lr,ALL,0.894816,0.088608
loso_mean_sd,ea_fbcsp2_slda,ALL,0.863560,0.081761
loso_mean_sd,riemann_ts_lr,ALL,0.827694,0.100666
